Rank,Company,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters,Symbol
1,Walmart,Retail,"680,985",5.1%,"2,100,000","Bentonville, Arkansas",WMT
2,Amazon,Retail and cloud computing,"637,959",11.0%,"1,556,000","Seattle, Washington",AMZN
3,UnitedHealth Group,Healthcare,"400,278",7.7%,"400,000","Minnetonka, Minnesota",UNH
4,Apple,Electronics industry,"391,035",2.0%,"164,000","Cupertino, California",AAPL
5,CVS Health,Healthcare,"372,809",4.2%,"259,500","Woonsocket, Rhode Island",CVS
6,Berkshire Hathaway,Conglomerate,"371,433",1.9%,"392,400","Omaha, Nebraska",BRK.A
7,Alphabet,Technology and cloud computing,"350,018",13.9%,"183,323","Mountain View, California",GOOGL
10,Cencora,Pharmacy wholesale,"293,959",12.1%,"44,000","Conshohocken, Pennsylvania",COR
11,JPMorgan Chase,Financial services,"278,906",16.5%,"317,233","New York City, New York",JPM
12,Costco,Retail,"254,453",5.0%,"333,000","Issaquah, Washington",COST
13,Cigna,Health insurance,"247,121",26.6%,"72,398","Bloomfield, Connecticut",CI
14,Microsoft,Technology and cloud computing,"245,122",15.7%,"228,000","Redmond, Washington",MSFT
15,Cardinal Health,Healthcare,"226,827",10.6%,"48,411","Dublin, Ohio",CAH
17,Bank of America,Financials,"184,992",11.9%,"213,193","Charlotte, North Carolina",BAC
18,General Motors,Automotive industry,"187,442",9.1%,"162,000","Detroit, Michigan",GM
20,Elevance Health,Healthcare,"177,011",3.3%,"103,679","Indianapolis, Indiana",ELV
21,Citigroup,Financials,"170,757",8.9%,"227,855","New York City, New York",C
22,Meta Platforms,Technology,"164,501",21.9%,"74,067","Menlo Park, California",META
23,Centene,Healthcare,"163,071",5.9%,"60,500","St. Louis, Missouri",CNC
26,Walgreens Boots Alliance,Pharmaceutical industry,"147,658",6.2%,"252,500","Deerfield, Illinois",WBA
27,Kroger,Retail,"147,123",-1.9%,"409,000","Cincinnati, Ohio",KR
28,Phillips 66,Petroleum industry,"145,496",-2.9%,"13,200","Houston, Texas",PSX
29,Marathon Petroleum,Petroleum industry,"140,412",-6.6%,"18,300","Findlay, Ohio",MPC
30,Verizon Communications,Telecommunications,"134,788",0.6%,"99,600","New York City, New York",VZ
31,Nvidia,Technology,"130,497",114.2%,"36,000","Santa Clara, California",NVDA
32,Goldman Sachs,Financials,"126,853",17.0%,"46,500","New York City, New York",GS
33,Wells Fargo,Financials,"125,397",8.7%,"217,502","San Francisco, California",WFC
34,Valero Energy,Petroleum industry,"123,974",-10.8%,"9,910","San Antonio, Texas",VLO
35,Comcast,Telecommunications,"123,731",1.8%,"182,000","Philadelphia, Pennsylvania",CCZ
37,AT&T,Conglomerate and telecommunications,"122,336",-0.1%,"140,990","Dallas, Texas",T
39,Humana,Health insurance,"117,761",10.7%,"65,680","Louisville, Kentucky",HUM
40,Morgan Stanley,Financials,"107,285",11.5%,"80,478","New York City, New York",MS
42,StoneX Group,Financials,"99,888",64.1%,"4,500","New York City, New York",SNEX
43,Tesla,Automotive and energy,"97,690",0.9%,"125,665","Austin, Texas",TSLA
44,Dell Technologies,Technology,"95,567",8.1%,"108,000","Round Rock, Texas",DELL
45,PepsiCo,Beverage,"91,854",0.4%,"319,000","Purchase, New York",PEP
47,United Parcel Service,Transportation,"91,070",0.1%,"372,180","Atlanta, Georgia",UPS
48,Johnson & Johnson,Pharmaceutical industry,"88,821",-6.7%,"138,100","New Brunswick, New Jersey",JNJ
49,FedEx,Transportation,"87,693",-2.7%,"422,100","Memphis, Tennessee",FDX
51,Procter & Gamble,Consumer products manufacturing,"84,039",2.5%,"108,000","Cincinnati, Ohio",PG
52,Lowe's,Retail,"83,674",-3.1%,"215,500","Mooresville, North Carolina",LOW
55,Albertsons,Retail,"79,238",2.0%,"196,650","Boise, Idaho",ACI
56,Sysco,Food service,"78,844",3.3%,"76,000","Houston, Texas",SYY
58,American Express,Financial,"74,201",10.1%,"75,100","New York City, New York",AXP
59,Lockheed Martin,Aerospace and defense,"71,043",5.1%,"121,000","Bethesda, Maryland",LMT.TO
60,MetLife,Financials,"70,986",6.1%,"45,000","New York City, New York",MET
